TIC ID,PATHOS ID,Cluster,RA (deg),Dec. (deg),Period (day),T0 (BTJD),Rp/R*,Note,Tmag,Gmag,gof_al,excess_noise_sig,Sectors
394126269,1,Galactic Field,2.8796,-70.9869,3.8582,1339.677,0.152,,15.331,15.9133568,-0.354171455,0,[1]
30654608,2,Muzzio 1,134.3845,-47.8477,2.4955,1519.662,0.048,,10.5145,11.23272,7.567358,0,[8 9]
39291805,3,NGC 2112,88.7164,-0.0484,7.1719,1469.033,0.19,,15.2969,16.0682926,0.145179108,0.614886535733453,[6]
42524156,4,ASCC 88,256.8882,-35.5036,10.013,1631.474,0.125,,10.6032,10.904232,15.5349045,0.316367542626874,[12]
80317933,5,Collinder 292,237.9156,-57.2797,3.2098,1625.529,0.232,,13.0067,13.34131,-2.62382,0,[12]
88977253,6,NGC 2548,123.0977,-5.7687,2.7677,1492.708,0.146,TOI-496,12.33,12.6242085,6.37555838,0,[7]
92835691,7,SAI 91,129.1193,-50.1497,22.3661,1527.825,0.214,,14.6866,15.2706213,-2.71920133,0,[8 9]
94589619,8,NGC 2437,115.7338,-14.581,12.0829,1496.198,0.187,,13.8554,14.143939,-1.84909523,0,[7]
125414447,9,NGC 2323,105.7303,-8.4369,3.7069,1493.2,0.229,,14.2935,14.803607,-3.359294,0,[7]
126600730,10,Haffner 14,116.0772,-28.3253,6.2991,1497.305,0.102,,15.4686,15.9648476,-1.463088,1.21857073866145E-15,[7]
144995073,11,NGC 2669,131.4641,-52.9284,20.0207,1518.823,0.24,,13.7462,14.173749,-3.5566268,0,[8 9]
147069011,12,Alessi 8,232.8684,-51.1783,7.327,1628.559,0.448,,12.5841,13.0318918,-1.288375,0,[12]
147426828,13,NGC 2318,104.8768,-13.2535,1.4618,1492.845,0.221,,14.1831,14.6768742,-2.16063476,0,[6 7]
153734545,14,NGC 2527,121.2402,-28.1462,3.2196,1493.665,0.187,,9.9302,10.086731,20.4412022,4.5157765543571,[7 8]
153735144,15,NGC 2527,121.1537,-28.2948,3.7785,1493.406,0.178,,11.586,11.8500338,11.91431,0,[7 8]
159059181,16,NGC 2112,88.3711,0.4239,5.2167,1471.198,0.162,,14.2239,15.060091,2.52640939,2.09735027062512,[6]
181602717,17,NGC 2671,131.7366,-41.9773,2.4557,1517.489,0.246,,15.2983,16.137558,4.00367975,2.06855698039013,[8 9]
236084210,18,ASCC 85,251.5388,-45.3214,5.3465,1631.974,0.182,,11.5077,11.6580114,15.21426,4.78031899908438,[12]
300362600,19,NGC 5316,208.3975,-62.0764,11.6556,1602.169,0.213,,12.2156,12.3922348,11.1297684,0,[11]
306385801,20,NGC 3532,166.6553,-58.8608,14.0367,1575.028,0.11,,9.5283,9.513949,14.8702192,1.84230578825055E-15,[10 11]
308538095,21,NGC 2516,120.8514,-60.6655,11.6929,1420.294,0.13,,11.5983,12.034585,1.20344865,9.77158498717087E-16,[ 1  4  7  8  9 10 11]
317536999,22,Ruprecht 94,172.5414,-63.1323,5.8557,1576.007,0.178,,12.867,14.302494,1.06441307,1.31661026504184E-15,[10 11]
372913337,23,NGC 2516,119.4918,-60.8459,1.786,1325.341,0.045,,8.9232,8.983971,20.2174511,8.64581322810446,[ 1  4  7  8  9 10 11]
389927567,24,Melotte 101,160.2669,-65.5215,6.9408,1575.805,0.261,,13.1149,13.3556128,-2.43344474,0,[10 11]
410450228,25,NGC 2516,117.8949,-60.4124,15.7784,1420.25,0.095,TOI-681,10.6845,10.9051266,7.84623337,0,[ 1  4  7  8  9 10 11 10 13]
413809436,26,NGC 5925,232.0979,-54.5586,2.703,1627.336,0.233,,14.2122,14.734026,-2.54228377,0,[12]
419091401,27,Ruprecht 48,120.6352,-31.9951,12.7071,1499.685,0.188,,13.7681,13.991972,-1.21352923,0,[7 8]
432564189,28,Ruprecht 82,146.5229,-53.9787,3.7611,1546.783,0.12,,13.6187,13.9776468,-0.7629662,0,[ 9 10]
450610413,29,Harvard 5,186.7427,-60.6906,10.678,1600.682,0.176,,12.2804,12.3879633,8.301272,0,[11]
460205581,30,IC 2602,157.0373,-64.5052,8.3252,1574.271,0.059,TOI-837,9.9322,10.3559618,8.692526,0,[10 11]
460950389,31,IC 2602,159.158,-64.7982,2.8622,1572.224,0.042,,11.649,12.3267126,-1.38976967,0,[10 11]
462004618,32,NGC 3114,149.912,-59.9032,2.3669,1544.599,0.172,,11.356,11.298667,17.15712,3.55557685094592,[ 9 10]
748919024,33,Ruprecht 151,115.1315,-16.3216,2.5395,1494.064,0.118,,13.3927,13.76183,21.3946266,37.1632841221989,[7]
1036769612,34,Trumpler 22,217.5064,-61.3249,7.4732,1599.298,0.111,,16.0497,16.6392231,1.85851657,0,[11 12]
